ds,yhat,yhat_lower,yhat_upper
2025-08-26,295.04017219385406,278.69445709478777,311.790773097772
2025-08-27,282.9456025681138,267.39236461084863,300.1217560485406
2025-08-28,291.37453472934345,274.5913943091934,306.8675902241445
2025-08-29,336.16747760816565,319.89999187719854,353.40340371677894
2025-08-30,289.14345063526895,273.2613061641203,304.8068367935803
2025-08-31,342.55441958992435,327.00213342860275,357.68949119117383
2025-09-01,283.3666894982196,266.89633899017883,299.40230796461327
2025-09-02,295.2477829213743,279.54698232129454,312.56023299367286
2025-09-03,283.15711236140265,267.8191746908578,299.5776298099341
2025-09-04,291.58604464986246,274.07402083702533,308.56137174947486
2025-09-05,336.378987656091,320.23943087988346,352.93775016216523
2025-09-06,289.3549608107129,273.4489708274199,306.1869629392812
2025-09-07,342.7659298834227,326.43355117571576,359.28344034671517
2025-09-08,283.57820003938053,267.85326338724286,298.7748996823706
2025-09-09,295.4592937105945,278.88770213213485,311.06078915897
2025-09-10,283.36862339825115,267.6640849428854,299.8559214395297
2025-09-11,291.7975558246493,275.1772263268078,307.9709934439671
2025-09-12,336.5904989687071,320.69826885673643,353.12904363642934
2025-09-13,289.56647226097874,273.4100698061299,305.7596048251272
2025-09-14,342.9774414715711,326.85975143068737,359.211849150302
2025-09-15,283.7897116387787,268.0859211321285,300.58584879639096
2025-09-16,295.67080532098703,279.2417758466241,311.9376213018912
2025-09-17,283.5801350196952,267.60739957595445,300.2841914183692
2025-09-18,292.0090674491697,276.099128560933,307.4975124600029
2025-09-19,336.80201052523284,321.7485981578874,353.24437038679747
2025-09-20,289.77798374969996,274.7274491897355,307.24673997460997
2025-09-21,343.18895289232074,327.58891246929016,359.08877255745176
2025-09-22,284.0012228192599,267.36008955950695,298.3030854728641
2025-09-23,295.88231626153487,280.4625019659227,312.5913715526415
2025-09-24,283.7916457201994,267.71357607654886,300.41516457687453
2025-09-25,292.220577909225,276.0860204258918,307.77173263039884
2025-09-26,337.01352069426093,321.73017572717987,353.24110284875496
2025-09-27,289.9894936273591,273.5188513413163,305.223026845593
2025-09-28,343.40046247881526,326.64353034542546,359.6499981824346
